Summary,Issue Type,Epic Link,Component,Labels,Description,Acceptance Criteria
Implement SHOW / DESCRIBE metadata statements,Story,OXIDANT-DBR-PARITY,oxidant-sql;catalog,databricks;metadata;sql,"Implement SHOW DATABASES/TABLES/COLUMNS/TBLPROPERTIES and DESCRIBE TABLE/QUERY/CREATE TABLE against catalog metadata.","SHOW DATABASES IN glue, SHOW TABLES IN glue.db, DESCRIBE TABLE glue.db.t, SHOW CREATE TABLE return catalog metadata directly."
Spark output-name reconciliation pass,Story,OXIDANT-DBR-PARITY,oxidant-sql,databricks;schema;naming,"Implement a plan-level output-naming pass so DataFusion result headers match Spark's Expression.sql algorithm.","schema-only bucket reduced by matching Spark Expression.sql headers for common expressions."
Extend Glue catalog DDL: ALTER/DROP/CREATE DATABASE/REPAIR,Story,OXIDANT-DBR-PARITY,oxidant-catalog-glue,glue;ddl;aws-sdk,"Extend oxidant-catalog-glue to support full DDL lifecycle using aws-sdk-glue in-process.","ALTER TABLE, DROP TABLE/DATABASE with IF EXISTS/CASCADE, CREATE DATABASE/SCHEMA, CREATE CATALOG, ALTER VIEW, COMMENT ON, TRUNCATE TABLE, REFRESH, REPAIR TABLE/MSCK REPAIR TABLE, SHOW PARTITIONS work; no AWS CLI; integration tests with stub server."
Glue column statistics via ANALYZE TABLE,Story,OXIDANT-DBR-PARITY,oxidant-catalog-glue,glue;statistics;aws-sdk,"Implement ANALYZE TABLE … COMPUTE STATISTICS for Glue tables using aws-sdk-glue.","ANALYZE TABLE glue.db.t COMPUTE STATISTICS persists and reads column stats via Glue SDK."
Add Lake Formation authorization crate,Story,OXIDANT-DBR-PARITY,oxidant-catalog-lakeformation,lakeformation;aws-sdk;auth,"Create a new crate that resolves Lake Formation effective permissions per table using aws-sdk-lakeformation.","New crate using aws-sdk-lakeformation; resolves effective permissions per table; unit tests with stub server."
Apply Lake Formation row filters and column masks to scans,Story,OXIDANT-DBR-PARITY,oxidant-loom;plan,lakeformation;security;plan,"Apply Lake Formation row filters and column masks by rewriting table scan plans in DataFusion.","Plan rewrite injects filters/masks from OXIDANT-DBR-014; honors AccessDenied; integration tests pass."
Lake Formation cross-account resource links,Story,OXIDANT-DBR-PARITY,oxidant-catalog-lakeformation,lakeformation;cross-account;glue,"Support Lake Formation cross-account shared catalogs via resource links and permissions.","GetResourceLinks, ListPermissions support; shared Glue tables resolve through resource links."
Delta Lake SQL on Glue: CONVERT/VACUUM/OPTIMIZE/RESTORE,Story,OXIDANT-DBR-PARITY,oxidant-datasource;delta,databricks;delta;glue,"Implement Delta Lake maintenance statements for Glue-registered Delta tables.","CONVERT TO DELTA, DESCRIBE HISTORY, DESCRIBE DETAIL, OPTIMIZE, VACUUM, RESTORE, CREATE TABLE … CLONE, CREATE BLOOMFILTER INDEX, GENERATE symlink manifest, FSCK REPAIR TABLE work on Glue-registered tables; stubs + S3 integration tests."
Delta MERGE/UPDATE/DELETE on Glue tables,Story,OXIDANT-DBR-PARITY,oxidant-datasource;delta,databricks;delta;glue;dml,"Implement Delta DML for Glue-registered Delta tables.","MERGE INTO, UPDATE, DELETE FROM execute and update Glue table metadata as needed."
Databricks parity ratchet CI job,Story,OXIDANT-DBR-PARITY,ci,databricks;parity;ci,"Add a CI job that runs the Databricks parity corpus and fails on regression.","New GitHub Actions job runs Databricks corpus and fails on regression; baseline committed."
Document Glue + Lake Formation SQL support,Story,OXIDANT-DBR-PARITY,docs,databricks;docs;glue;lakeformation,"Document supported Databricks SQL on Glue and Lake Formation.","Update catalogs-glue.md, add catalogs-lakeformation.md, add Databricks parity section to README."
